NUTS_ID,COASTAL CATEGORY,COASTAL LABEL,,,COASTAL REGIONS,
DE279,0,non-coastal,,,,
DE27A,0,non-coastal,,,,
DE27B,0,non-coastal,,,,
DE27C,0,non-coastal,,,,
DE27D,0,non-coastal,,,,
DE27E,0,non-coastal,,,,
DE300,0,non-coastal,,,,
DE401,0,non-coastal,,,,
DE402,0,non-coastal,,,,
DE403,0,non-coastal,,,,
DE404,0,non-coastal,,,,
DE405,0,non-coastal,,,,
DE406,0,non-coastal,,,,
DE407,0,non-coastal,,,,
DE408,0,non-coastal,,,,
DE409,0,non-coastal,,,,
DE40A,0,non-coastal,,,,
DE40B,0,non-coastal,,,,
DE40C,0,non-coastal,,,,
DE40D,0,non-coastal,,,,
DE40E,0,non-coastal,,,,
DE40F,0,non-coastal,,,,
DE40G,0,non-coastal,,,,
DE40H,0,non-coastal,,,,
DE40I,0,non-coastal,,,,
DE501,1,coastal (on coast),,,,
DE502,1,coastal (on coast),,,,
DE600,1,coastal (on coast),,,,
DE711,0,non-coastal,,,,
DE712,0,non-coastal,,,,
DE713,0,non-coastal,,,,
DE714,0,non-coastal,,,,
DE715,0,non-coastal,,,,
DE716,0,non-coastal,,,,
DE717,0,non-coastal,,,,
DE718,0,non-coastal,,,,
DE719,0,non-coastal,,,,
DE71A,0,non-coastal,,,,
DE71B,0,non-coastal,,,,
DE71C,0,non-coastal,,,,
DE71D,0,non-coastal,,,,
DE71E,0,non-coastal,,,,
DE721,0,non-coastal,,,,
DE722,0,non-coastal,,,,
DE723,0,non-coastal,,,,
DE724,0,non-coastal,,,,
DE725,0,non-coastal,,,,
DE731,0,non-coastal,,,,
DE732,0,non-coastal,,,,
DE733,0,non-coastal,,,,
DE734,0,non-coastal,,,,
DE735,0,non-coastal,,,,
DE736,0,non-coastal,,,,
DE737,0,non-coastal,,,,
DE803,1,coastal (on coast),,,,
DE804,2,coastal (>= 50% of population living within 50km of the coastline),,,,
DE80J,0,non-coastal,,,,
DE80K,1,coastal (on coast),,,,
DE80L,1,coastal (on coast),,,,
DE80M,1,coastal (on coast),,,,
DE80N,1,coastal (on coast),,,,
DE80O,0,non-coastal,,,,
DE911,0,non-coastal,,,,
DE912,0,non-coastal,,,,
DE913,0,non-coastal,,,,
DE914,0,non-coastal,,,,
DE916,0,non-coastal,,,,
DE917,0,non-coastal,,,,
DE918,0,non-coastal,,,,
DE91A,0,non-coastal,,,,
DE91B,0,non-coastal,,,,
DE91C,0,non-coastal,,,,
DE922,0,non-coastal,,,,
DE923,0,non-coastal,,,,
DE925,0,non-coastal,,,,
DE926,0,non-coastal,,,,
DE927,0,non-coastal,,,,
DE928,0,non-coastal,,,,
DE929,0,non-coastal,,,,
DE931,0,non-coastal,,,,
DE932,1,coastal (on coast),,,,
DE933,0,non-coastal,,,,
DE934,0,non-coastal,,,,
DE935,0,non-coastal,,,,
DE936,2,coastal (>= 50% of population living within 50km of the coastline),,,,
DE937,0,non-coastal,,,,
DE938,0,non-coastal,,,,
DE939,1,coastal (on coast),,,,
DE93A,0,non-coastal,,,,
DE93B,0,non-coastal,,,,
DE941,2,coastal (>= 50% of population living within 50km of the coastline),,,,
DE942,1,coastal (on coast),,,,
DE943,2,coastal (>= 50% of population living within 50km of the coastline),,,,
DE944,0,non-coastal,,,,
DE945,1,coastal (on coast),,,,
DE946,2,coastal (>= 50% of population living within 50km of the coastline),,,,
DE947,1,coastal (on coast),,,,
DE948,0,non-coastal,,,,
DE949,0,non-coastal,,,,
DE94A,1,coastal (on coast),,,,
DE94B,0,non-coastal,,,,
DE94C,1,coastal (on coast),,,,
DE94D,2,coastal (>= 50% of population living within 50km of the coastline),,,,
DE94E,0,non-coastal,,,,
DE94F,0,non-coastal,,,,
DE94G,1,coastal (on coast),,,,
DE94H,1,coastal (on coast),,,,
DEA11,0,non-coastal,,,,
DEA12,0,non-coastal,,,,
DEA13,0,non-coastal,,,,
DEA14,0,non-coastal,,,,
DEA15,0,non-coastal,,,,
DEA16,0,non-coastal,,,,
DEA17,0,non-coastal,,,,
DEA18,0,non-coastal,,,,
DEA19,0,non-coastal,,,,
DEA1A,0,non-coastal,,,,
DEA1B,0,non-coastal,,,,
DEA1C,0,non-coastal,,,,
DEA1D,0,non-coastal,,,,
DEA1E,0,non-coastal,,,,
DEA1F,0,non-coastal,,,,
DEA22,0,non-coastal,,,,
DEA23,0,non-coastal,,,,
DEA24,0,non-coastal,,,,
DEA26,0,non-coastal,,,,
DEA27,0,non-coastal,,,,
DEA28,0,non-coastal,,,,
DEA29,0,non-coastal,,,,
DEA2A,0,non-coastal,,,,
DEA2B,0,non-coastal,,,,
DEA2C,0,non-coastal,,,,
DEA2D,0,non-coastal,,,,
DEA31,0,non-coastal,,,,
DEA32,0,non-coastal,,,,
DEA33,0,non-coastal,,,,
DEA34,0,non-coastal,,,,
DEA35,0,non-coastal,,,,
DEA36,0,non-coastal,,,,
DEA37,0,non-coastal,,,,
DEA38,0,non-coastal,,,,
DEA41,0,non-coastal,,,,
DEA42,0,non-coastal,,,,
DEA43,0,non-coastal,,,,
DEA44,0,non-coastal,,,,
DEA45,0,non-coastal,,,,
DEA46,0,non-coastal,,,,
DEA47,0,non-coastal,,,,
DEA51,0,non-coastal,,,,
DEA52,0,non-coastal,,,,
DEA53,0,non-coastal,,,,
DEA54,0,non-coastal,,,,
DEA55,0,non-coastal,,,,
DEA56,0,non-coastal,,,,
DEA57,0,non-coastal,,,,
DEA58,0,non-coastal,,,,
DEA59,0,non-coastal,,,,
DEA5A,0,non-coastal,,,,
DEA5B,0,non-coastal,,,,
DEA5C,0,non-coastal,,,,
DEB11,0,non-coastal,,,,
DEB12,0,non-coastal,,,,
DEB13,0,non-coastal,,,,
DEB14,0,non-coastal,,,,
DEB15,0,non-coastal,,,,
DEB17,0,non-coastal,,,,
DEB18,0,non-coastal,,,,
DEB1A,0,non-coastal,,,,
DEB1B,0,non-coastal,,,,
DEB1C,0,non-coastal,,,,
DEB1D,0,non-coastal,,,,
DEB21,0,non-coastal,,,,
DEB22,0,non-coastal,,,,
DEB23,0,non-coastal,,,,
DEB24,0,non-coastal,,,,
DEB25,0,non-coastal,,,,
DEB31,0,non-coastal,,,,
DEB32,0,non-coastal,,,,
DEB33,0,non-coastal,,,,
DEB34,0,non-coastal,,,,
DEB35,0,non-coastal,,,,
DEB36,0,non-coastal,,,,
DEB37,0,non-coastal,,,,
DEB38,0,non-coastal,,,,
DEB39,0,non-coastal,,,,
DEB3A,0,non-coastal,,,,
DEB3B,0,non-coastal,,,,
DEB3C,0,non-coastal,,,,
DEB3D,0,non-coastal,,,,
DEB3E,0,non-coastal,,,,
DEB3F,0,non-coastal,,,,
DEB3G,0,non-coastal,,,,
DEB3H,0,non-coastal,,,,
DEB3I,0,non-coastal,,,,
DEB3J,0,non-coastal,,,,
DEB3K,0,non-coastal,,,,
DEC01,0,non-coastal,,,,
DEC02,0,non-coastal,,,,
DEC03,0,non-coastal,,,,
DEC04,0,non-coastal,,,,
DEC05,0,non-coastal,,,,
DEC06,0,non-coastal,,,,
DED21,0,non-coastal,,,,
DED2C,0,non-coastal,,,,
DED2D,0,non-coastal,,,,
DED2E,0,non-coastal,,,,
DED2F,0,non-coastal,,,,
DED41,0,non-coastal,,,,
DED42,0,non-coastal,,,,
DED43,0,non-coastal,,,,
DED44,0,non-coastal,,,,
DED45,0,non-coastal,,,,
DED51,0,non-coastal,,,,
DED52,0,non-coastal,,,,
DED53,0,non-coastal,,,,
DEE01,0,non-coastal,,,,
DEE02,0,non-coastal,,,,
DEE03,0,non-coastal,,,,
DEE04,0,non-coastal,,,,
DEE05,0,non-coastal,,,,
DEE06,0,non-coastal,,,,
DEE07,0,non-coastal,,,,
DEE08,0,non-coastal,,,,
DEE09,0,non-coastal,,,,
DEE0A,0,non-coastal,,,,
DEE0B,0,non-coastal,,,,
DEE0C,0,non-coastal,,,,
DEE0D,0,non-coastal,,,,
DEE0E,0,non-coastal,,,,
DEF01,1,coastal (on coast),,,,
DEF02,1,coastal (on coast),,,,
DEF03,1,coastal (on coast),,,,
DEF04,2,coastal (>= 50% of population living within 50km of the coastline),,,,
DEF05,1,coastal (on coast),,,,
DEF06,0,non-coastal,,,,
DEF07,1,coastal (on coast),,,,
DEF08,1,coastal (on coast),,,,
DEF09,1,coastal (on coast),,,,
DEF0A,1,coastal (on coast),,,,
DEF0B,1,coastal (on coast),,,,
DEF0C,1,coastal (on coast),,,,
DEF0D,2,coastal (>= 50% of population living within 50km of the coastline),,,,
DEF0E,1,coastal (on coast),,,,
DEF0F,0,non-coastal,,,,
