geo,NUTS_NAME,year,pop,gdp_capita,employment_rate,area_km2,pop_dens
CZ04,Severozápad,2055,1328409.44997833,20115.75913564401,77.2,8650.083392689476,153.57186626674846
CZ04,Severozápad,2085,1542814.845323788,27113.004132075774,77.2,8650.083392689476,178.35837821259403
CZ05,Severovýchod,2020,1517999.0,17500.0,79.8,12439.814073431986,122.02746689293592
CZ05,Severovýchod,2055,1807522.2288571333,24790.548230547192,79.8,12439.814073431986,145.30138619334372
CZ05,Severovýchod,2085,2099256.466429848,33413.91354305113,79.8,12439.814073431986,168.75304196975753
CZ06,Jihovýchod,2020,1701802.0,19600.0,80.1,13982.210671457718,121.71194097897097
CZ06,Jihovýchod,2055,2026381.4034880965,27765.414018212858,80.1,13982.210671457718,144.9256810029766
CZ06,Jihovýchod,2085,2353439.529988655,37423.583168217265,80.1,13982.210671457718,168.31669793052092
CZ07,Střední Morava,2020,1214570.0,17000.0,78.3,9233.472075744045,131.53990070437598
CZ07,Střední Morava,2055,1446221.159238582,24082.24685253156,78.3,9233.472075744045,156.628096925505
CZ07,Střední Morava,2085,1679641.374224687,32459.230298963954,78.3,9233.472075744045,181.9078847530212
CZ08,Moravskoslezsko,2020,1200539.0,16000.0,76.9,5429.66578839166,221.10734744792015
CZ08,Moravskoslezsko,2055,1429514.0702397788,22665.64409650029,76.9,5429.66578839166,263.2784642649654
CZ08,Moravskoslezsko,2085,1660237.759676537,30549.863810789604,76.9,5429.66578839166,305.7716302218892
DE11,Stuttgart,2020,4154223.0,52200.0,81.6,10554.231253467991,393.6073504770869
DE11,Stuttgart,2055,4946545.034700001,73946.6638648322,81.6,10554.231253467991,468.6788564609693
DE11,Stuttgart,2085,5744917.813346124,99668.93068270107,81.6,10554.231253467991,544.323662745064
DE12,Karlsruhe,2020,2810854.0,44900.0,80.5,6920.519458618004,406.16228547695096
DE12,Karlsruhe,2055,3346959.4427084527,63605.46374580394,80.5,6920.519458618004,483.62835517217445
DE12,Karlsruhe,2085,3887158.974208945,85730.55531902832,80.5,6920.519458618004,561.6860117875013
DE13,Freiburg,2020,2271351.0,39500.0,82.2,9400.154205716546,241.62912121364093
DE13,Freiburg,2055,2704558.713172327,55955.80886323509,82.2,9400.154205716546,287.71429212593074
DE13,Freiburg,2085,3141074.7136736596,75419.97628288683,82.2,9400.154205716546,334.1514027252306
DE14,Tübingen,2020,1863966.0,45100.0,82.1,9135.8555633252,204.02752507194495
DE14,Tübingen,2055,2219474.43893831,63888.78429701019,82.1,9135.8555633252,242.94106047912192
DE14,Tübingen,2085,2577697.7973670457,86112.4286166632,82.1,9135.8555633252,282.1517677791345
DE21,Oberbayern,2020,4710865.0,60200.0,82.9,17531.967649275168,268.70144265836376
DE21,Oberbayern,2055,5609353.632410205,85279.48591308235,82.9,17531.967649275168,319.95003325494474
DE21,Oberbayern,2085,6514703.773670501,114943.86258809589,82.9,17531.967649275168,371.5899951446603
DE22,Niederbayern,2020,1244169.0,40500.0,82.1,10325.437117672893,120.49552825908894
DE22,Niederbayern,2055,1481465.4844666899,57372.411619266364,82.1,10325.437117672893,143.47726566762307
DE22,Niederbayern,2085,1720574.1364662016,77329.34277106119,82.1,10325.437117672893,166.63450823997445
DE23,Oberpfalz,2020,1112102.0,43900.0,82.4,9687.974678496686,114.79200110508219
DE23,Oberpfalz,2055,1324209.7562359895,62188.86098977267,82.4,9687.974678496686,136.68592251538288
DE23,Oberpfalz,2085,1537937.3206632987,83821.18883085398,82.4,9687.974678496686,158.74704173999197
DE24,Oberfranken,2020,1065371.0,39300.0,84.5,7231.199439611886,147.32977687822986
DE24,Oberfranken,2055,1268565.8979220362,55672.488312028836,84.5,7231.199439611886,175.42952708135
DE24,Oberfranken,2085,1473312.539004857,75038.10298525196,84.5,7231.199439611886,203.74386729457052
DE25,Mittelfranken,2020,1775169.0,46400.0,79.5,7246.178007504097,244.98004301876742
DE25,Mittelfranken,2055,2113741.4632539866,65730.36787985085,79.5,7246.178007504097,291.7043248268272
DE25,Mittelfranken,2085,2454899.5106425015,88594.60505128985,79.5,7246.178007504097,338.7854270348069
DE26,Unterfranken,2020,1317619.0,41400.0,80.7,8529.419659494011,154.47932598009427
DE26,Unterfranken,2055,1568924.3745644807,58647.3540996945,80.7,8529.419659494011,183.94268745097173
DE26,Unterfranken,2085,1822148.8986757107,79047.77261041809,80.7,8529.419659494011,213.63105245355058
DE27,Schwaben,2020,1899442.0,40700.0,83.2,10031.008348530188,189.3570351058794
DE27,Schwaben,2055,2261716.666101131,57655.73217047261,83.2,10031.008348530188,225.47251358160153
DE27,Schwaben,2085,2626757.9234956303,77711.21606869606,83.2,10031.008348530188,261.86379596429316
