NUTS_ID,NUTS_NAME,scenario,pct_Af,pct_Am,pct_Aw,pct_BWh,pct_BWk,pct_BSh,pct_BSk,pct_Csa,pct_Csb,pct_Csc,pct_Cwa,pct_Cwb,pct_Cwc,pct_Cfa,pct_Cfb,pct_Cfc,pct_Dsa,pct_Dsb,pct_Dsc,pct_Dsd,pct_Dwa,pct_Dwb,pct_Dwc,pct_Dwd,pct_Dfa,pct_Dfb,pct_Dfc,pct_Dfd,pct_ET,pct_EF
AL02,Qender,ssp370_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9511273295972892,0.011077805291281115,0.0,0.0,0.0,0.0,0.0014335983318128503,0.0014335983318128503,0.0,0.0,0.034667014205656196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026065424214779094,0.0,0.0,0.0,0.0
AL02,Qender,ssp434_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8372214257787045,0.07454711325426822,0.0,0.0,0.0,0.0,0.003518832268995178,0.010295842564837742,0.0,0.0,0.05995047569399192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014466310439202398,0.0,0.0,0.0,0.0
AL02,Qender,ssp460_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9145054085755245,0.03935879056431643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046135800860159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL02,Qender,ssp585_2071_2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9839697641079108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016030235892089142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL03,Jug,ssp119_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7472178860969837,0.12422579183241855,0.0,0.0,0.0,0.0,0.009214965506823103,0.02608389143461403,0.0,0.0,0.02346543129059872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06964096883025328,0.00015106500830857546,0.0,0.0,0.0
AL03,Jug,ssp126_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7891132484012287,0.12145626668009467,0.0,0.0,0.0,0.0,0.0038269802104839118,0.014905080819779445,0.0,0.0,0.024120046326602546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04657837756181077,0.0,0.0,0.0,0.0
AL03,Jug,ssp245_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200815751044866,0.10322775567752657,0.0,0.0,0.0,0.0,0.001963845108011481,0.011430585628682209,0.0,0.0,0.035047081927589506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02824915655370361,0.0,0.0,0.0,0.0
AL03,Jug,ssp370_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8555314970542324,0.0912936200211491,0.0,0.0,0.0,0.0,0.0002014200110781006,0.0022156201218591067,0.0,0.0,0.03544992194974571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015307920841935647,0.0,0.0,0.0,0.0
AL03,Jug,ssp434_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8262248854423687,0.11138526612618964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062389848431441665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL03,Jug,ssp460_2041_2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564882421068534,0.08041693942293167,0.0,0.0,0.0,0.0,0.0,0.00015106500830857546,0.0,0.0,0.0592678382597311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003675915202175336,0.0,0.0,0.0,0.0
