geo,year,pop,employment_rate,gdp_capita,NUTS_NAME,area_km2,pop_dens,is_coastal,pct_Dfb,pct_Dfc,pct_ET,pct_EF,pct_Cfb,pct_BSk,pct_Csa,pct_Csb,pct_Cfa,pct_Dfa,pct_Dsb,pct_Dsc,pct_BSh,pct_BWk,pct_Cfc,pct_BWh,pct_Af,pct_Am,pct_Aw,pct_Cwa,pct_Cwb,pct_Csc,pct_Dsa,nights_spent
CZ03,2012,1207847.0,73.1,13400.0,Jihozápad,17709.34749957337,68.20392451100176,0.0,0.9889506751482038,0.0110493248517962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ04,2012,1131191.0,66.8,11500.0,Severozápad,8650.083392689474,130.77226526579085,0.0,0.8305318263022858,0.0,0.0,0.0,0.169468173697714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ05,2012,1508867.0,70.7,12400.0,Severovýchod,12439.814073431986,121.29337231997093,0.0,0.9798380946726348,0.0200475747893173,0.0,0.0,0.0001143305380476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ06,2012,1678250.0,70.9,14300.0,Jihovýchod,13982.210671457718,120.02751492121766,0.0,0.9553989901924992,0.0,0.0,0.0,0.0393031154026688,0.0052978944048319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ07,2012,1227668.0,70.6,12300.0,Střední Morava,9233.472075744045,132.95843534579305,0.0,0.9863433761890672,0.0136566238109327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ08,2012,1230613.0,68.2,13100.0,Moravskoslezsko,5429.66578839166,226.6461782290516,0.0,0.9868118439064876,0.0131881560935123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE11,2012,3924922.0,80.1,44700.0,Stuttgart,10554.231253467991,371.88137209996404,0.0,0.0208234695407845,0.0,0.0,0.0,0.9791765304592156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE12,2012,2671524.0,78.3,38500.0,Karlsruhe,6920.519458618004,386.0294037137916,0.0,0.0443291645610527,0.0,0.0,0.0,0.9556708354389474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE13,2012,2150906.0,81.9,32800.0,Freiburg,9400.154205716546,228.81603353825437,0.0,0.3463407079217729,0.0006712880915543,0.0,0.0,0.6529880039866728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE14,2012,1765089.0,80.8,36700.0,Tübingen,9135.855563325202,193.20456499834984,0.0,0.4932561994619623,0.0,0.0,0.0,0.5067438005380376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
