freq,c_resid,terrtypo,nace_r2,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DOM,CST_A,I551,PCH_PRE,MT	: 	-2.15 	7.75 	5.93 	-6.75 	13.5 	7.26 	10.96 	16.7 	22.96 	-1.46 	3.71 	4.11 
A,DOM,CST_A,I551,PCH_PRE,NL	: 	1.71 	5.86 	-1.91 	7.46 	1.9 	53.53 	-0.38 	-30.58 	25.18 	34.36 	3.94 	0.98 
A,DOM,CST_A,I551,PCH_PRE,NO	: 	1.79 	2.51 	3.02 	2.63 	: 	: 	: 	: 	14.68 	27.87 	1.83 	3.03 
A,DOM,CST_A,I551,PCH_PRE,PL	: 	6.32 	8.7 	11.62 	12.72 	8.48 	12.46 	10.92 	-25.15 	22.65 	30.66 	0.95 	10.58 
A,DOM,CST_A,I551,PCH_PRE,PT	: 	1.8 	15.54 	3.95 	3.02 	4.07 	3.27 	3.8 	-38.02 	40.22 	20.47 	-1.35 	0.34 
A,DOM,CST_A,I551,PCH_PRE,RO	: 	-9.24 	4.95 	14.12 	11.63 	5.26 	7.6 	1.61 	-30.85 	50.89 	-9.65 	10.25 	5.95 
A,DOM,CST_A,I551,PCH_PRE,SE	: 	2.7 	5.78 	6.9 	5.61 	2.39 	1.93 	7.98 	-37.13 	32.09 	25.91 	1.08 	-3.04 
A,DOM,CST_A,I551,PCH_PRE,SI	: 	1.37 	0.05 	2.71 	0.25 	6.04 	: 	: 	21.54 	22.51 	-13.1 	-14.16 	-3.94 
A,DOM,CST_A,I551,PCH_PRE,UK	: 	0.43 	-10.15 	-0.57 	4.41 	: 	: 	: 	: 	: 	: 	: 	: 
A,DOM,CST_A,I551-I553,NR,AL	: 	: 	: 	: 	: 	: 	349441 e	546024 e	519310 e	777787 e	847927 e	1397613 e	1462856 
A,DOM,CST_A,I551-I553,NR,AL0	: 	: 	: 	: 	: 	: 	349441 e	546024 e	519310 e	777787 e	847927 e	1397613 e	1462856 
A,DOM,CST_A,I551-I553,NR,AL01	: 	: 	: 	: 	: 	: 	63661 e	144852 e	123019 e	155766 e	242841 e	402358 e	459473 
A,DOM,CST_A,I551-I553,NR,AL02	: 	: 	: 	: 	: 	: 	44430 e	106725 e	70636 e	100698 e	128814 e	153270 e	224165 
A,DOM,CST_A,I551-I553,NR,AL03	: 	: 	: 	: 	: 	: 	241347 e	294447 e	325655 e	521323 e	476271 e	841986 e	779218 
A,DOM,CST_A,I551-I553,NR,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT11	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT12	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT13	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT2	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT21	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT22	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT3	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT31	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,DOM,CST_A,I551-I553,NR,AT32	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
