NUTS_ID,NUTS_NAME,area_km2
PL82,Podkarpackie,17846.580380237272
PL41,Wielkopolskie,29826.439639505363
PL84,Podlaskie,20186.81250518613
PL91,Warszawski stołeczny,6102.851731460453
PL42,Zachodniopomorskie,22451.61199193119
PL43,Lubuskie,13988.793369662711
NO08,Oslo og Viken,25026.656895676948
NO09,Agder og Sør-Østlandet,33881.375160726995
NO0A,Vestlandet,57454.29138702007
NO0B,Svalbard og Jan Mayen,61108.237606957206
NO06,Trøndelag/Trööndelage,42117.89017904491
NO07,Nord-Norge,112712.32256376948
SK04,Východné Slovensko,15721.091960549606
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",35358.0500670659
TR72,"Kayseri, Sivas, Yozgat",58906.82429099988
TR81,"Zonguldak, Karabük, Bartın",9802.131695356393
TR10,İstanbul,5463.139364801834
TR82,"Kastamonu, Çankırı, Sinop",26378.898405645607
TRA1,"Erzurum, Erzincan, Bayburt",40365.72904506924
TR21,"Tekirdağ, Edirne, Kırklareli",18793.144498236954
TR83,"Samsun, Tokat, Çorum, Amasya",38002.04372725951
TRA2,"Ağrı, Kars, Iğdır, Ardahan",29992.571678464537
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",37410.964715471244
TR22,"Balıkesir, Çanakkale",24393.32126568012
TRB2,"Van, Muş, Bitlis, Hakkari",44746.54046534383
TRC1,"Gaziantep, Adıyaman, Kilis",15514.884196978788
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",19831.111657416033
SI03,Vzhodna Slovenija,12431.171077261171
TRC2,"Şanlıurfa, Diyarbakır",34121.427611040766
SI04,Zahodna Slovenija,7842.366083690616
TR31,İzmir,11991.669065443873
TRC3,"Mardin, Batman, Şırnak, Siirt",26050.00523494307
TR51,Ankara,25655.911531629423
TR52,"Konya, Karaman",49479.97215800576
SK01,Bratislavský kraj,2051.864808557811
TR61,"Antalya, Isparta, Burdur",36559.57308993774
SK02,Západné Slovensko,14989.425543195772
TR32,"Aydın, Denizli, Muğla",32506.7172381168
TR62,"Adana, Mersin",29738.119206947347
SK03,Stredné Slovensko,16259.66411881606
TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",44438.43290824768
TR63,"Hatay, Kahramanmaraş, Osmaniye",23155.09753418632
TR41,"Bursa, Eskişehir, Bilecik",29049.10634537472
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",31911.472874730996
RO22,Sud-Est,35742.934769848755
SE22,Sydsverige,14398.73525955128
RO31,Sud-Muntenia,34463.9053761948
RO32,Bucureşti-Ilfov,1803.8900634686033
SE33,Övre Norrland,165148.7108042955
PT1C,Alentejo,27249.008078775194
RO41,Sud-Vest Oltenia,29209.900289060486
PT1D,Oeste e Vale do Tejo,9204.309163689866
PT20,Região Autónoma dos Açores,2322.7668348009147
RO42,Vest,32033.90739138787
RS11,Београдски регион,3234.1203425902554
PT30,Região Autónoma da Madeira,799.9717695819663
SE23,Västsverige,34579.505985291624
SE32,Mellersta Norrland,77160.6450839479
RS12,Регион Војводине,21501.38125940949
SE11,Stockholm,7057.706717030064
SE12,Östra Mellansverige,43296.778340850855
SE21,Småland med öarna,35985.82247170247
RO11,Nord-Vest,34151.75492588857
RS21,Регион Шумадије и Западне Србије,26493.21612083203
SE31,Norra Mellansverige,72011.24239065517
RO12,Centru,34111.30841551055
RS22,Регион Јужне и Источне Србије,26252.076396032335
RO21,Nord-Est,36850.85431065863
XK00,Kosovo,10907.5477090377
