actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
9463090.0,4389841.0,4331579.6815621285,5073249.0,5131510.3184378715
9463090.0,4147022.0,4046749.8170104,5316068.0,5416340.1829896
0.0,4478612.0,4445815.1815364,-4478612.0,-4445815.1815364
958676.0,4714593.5,4657245.091046883,-3755917.5,-3698569.091046883
1245739.0,4717079.5,4583461.76481813,-3471340.5,-3337722.76481813
7415571.0,4717079.5,4569428.779489221,2698491.5,2846142.220510779
9619986.0,4730016.0,4671063.02923028,4889970.0,4948922.97076972
9619986.0,4478612.0,4407162.439858573,5141374.0,5212823.560141427
0.0,4943057.5,4772125.712234875,-4943057.5,-4772125.712234875
994040.0,3918645.0,3894088.817695026,-2924605.0,-2900048.817695026
1304516.0,3918645.0,3878207.308333614,-2614129.0,-2573691.308333614
7418360.0,3918645.0,3878207.308333614,3499715.0,3540152.691666386
9716916.0,4281939.5,4205473.122926958,5434976.5,5511442.877073042
9716916.0,3918645.0,3889372.961022971,5798271.0,5827543.038977029
0.0,4630498.5,4517402.221115096,-4630498.5,-4517402.221115096
1049738.0,5018797.0,4879686.024319585,-3969059.0,-3829948.0243195854
1407229.0,5018797.0,4772851.615107475,-3611568.0,-3365622.615107475
7549468.0,4943057.5,4791215.73286441,2606410.5,2758252.2671355903
10006435.0,4630498.5,4549457.122749914,5375936.5,5456977.877250086
10006435.0,4111687.75,4066399.293758272,5894747.25,5940035.706241728
0.0,5151077.5,5067311.591502397,-5151077.5,-5067311.591502397
1090925.0,4630498.5,4524668.454278502,-3539573.5,-3433743.4542785017
1488835.0,5151077.5,4901145.099299847,-3662242.5,-3412310.099299847
7975498.0,5151077.5,5067311.591502397,2824420.5,2908186.4084976027
10555258.0,4630498.5,4525938.190850208,5924759.5,6029319.809149792
10555258.0,4576586.5,4439710.88808832,5978671.5,6115547.11191168
0.0,4623515.0,4501661.623295731,-4623515.0,-4501661.623295731
1124794.0,4623515.0,4566842.298125079,-3498721.0,-3442048.298125079
1588445.0,4462644.5,4430029.798179899,-2874199.5,-2841584.7981798993
8258013.0,4792458.5,4710520.490114839,3465554.5,3547492.509885161
10971252.0,4924412.5,4791916.242828095,6046839.5,6179335.757171905
10971252.0,4462644.5,4459714.86062413,6508607.5,6511537.13937587
0.0,4635643.5,4551379.330217675,-4635643.5,-4551379.330217675
1091294.0,5076709.0,4878575.844934967,-3985415.0,-3787281.8449349673
1651404.0,4635643.5,4619623.724107923,-2984239.5,-2968219.724107923
8415750.0,4379328.5,4389975.818419641,4036421.5,4025774.181580359
11158448.0,4744667.0,4611877.953481319,6413781.0,6546570.046518681
11158448.0,4635643.5,4583597.431299455,6522804.5,6574850.568700545
0.0,5062618.0,4924443.13185976,-5062618.0,-4924443.13185976
1199944.0,4279548.0,4238444.179196309,-3079604.0,-3038500.1791963093
1704370.0,4272896.5,4302246.5483118,-2568526.5,-2597876.5483117998
8452977.0,4165943.5,4206420.972527788,4287033.5,4246556.027472212
